,farm,sim_id,T_nominal,R_recovery,beta_eff,R0,mean_S,mean_I,total_new_E
29,Farm1,29,0.0871592165640311,0.079602771041005,9.35160560310091e-05,0.0011747839278463948,816.5972602739726,4.095890410958904,114
30,Farm1,30,0.0559062915154287,0.060603863750599,8.637692008695277e-05,0.0014252708448163757,772.9342465753425,9.684931506849315,240
31,Farm1,31,0.01,0.0767441616568605,0.00010477886893069291,0.0013653008472381462,803.8328767123288,3.4575342465753423,110
32,Farm1,32,0.01,0.04,5.005368360983857e-05,0.0012513420902459643,768.9287671232877,16.863013698630137,242
33,Farm1,33,0.01,0.04,5.240605173683303e-05,0.0013101512934208257,745.1260273972603,16.312328767123287,239
34,Farm1,34,0.01,0.08,8.15795615841704e-05,0.0010197445198021299,822.5534246575343,4.3863013698630136,108
35,Farm1,35,0.01,0.08,8.799786010016429e-05,0.0010999732512520536,807.6465753424658,4.76986301369863,126
36,Farm1,36,0.0272181157201064,0.08,8.986263237064227e-05,0.0011232829046330284,800.4958904109589,4.635616438356164,125
37,Farm1,37,0.01,0.08,8.365867259816949e-05,0.0010457334074771185,808.0027397260274,4.534246575342466,114
38,Farm1,38,0.01,0.08,9.892810063458122e-05,0.0012366012579322653,817.6,3.7041095890410958,111
39,Farm1,39,0.01,0.08,8.926526265439347e-05,0.0011158157831799183,825.5205479452055,3.9095890410958902,106
40,Farm1,40,0.01,0.08,0.00012191337496689808,0.001523917187086226,804.3232876712328,2.9616438356164383,110
41,Farm1,41,0.01,0.08,0.00010166580307739732,0.0012708225384674664,815.6328767123288,3.673972602739726,114
42,Farm1,42,0.0915256135427143,0.0506942658169148,6.383967122569319e-05,0.0012593075409407005,759.986301369863,12.276712328767124,224
43,Farm1,43,0.0201220442518986,0.08,9.844239520191766e-05,0.0012305299400239707,766.5452054794521,8.487671232876712,240
44,Farm1,44,0.01,0.04,5.235220358267112e-05,0.001308805089566778,763.0164383561644,16.58082191780822,247
45,Farm1,45,0.01,0.04,5.804507212414308e-05,0.001451126803103577,754.1397260273973,14.164383561643836,231
46,Farm1,46,0.01,0.04,5.2555353279669435e-05,0.0013138838319917358,771.9397260273972,16.15068493150685,244
47,Farm1,47,0.01,0.04,5.0558938125326946e-05,0.0012639734531331736,769.0931506849315,17.39178082191781,251
48,Farm1,48,0.01,0.04,5.126736311190352e-05,0.001281684077797588,787.0602739726028,16.246575342465754,242
49,Farm1,49,0.0224592054304409,0.08,9.945649015193077e-05,0.0012432061268991346,826.2602739726027,4.147945205479452,125
50,Farm1,50,0.01,0.08,9.080399181490911e-05,0.0011350498976863638,799.1479452054795,4.506849315068493,123
51,Farm1,51,0.01,0.04,5.824569543801665e-05,0.0014561423859504163,732.7342465753425,22.71232876712329,355
52,Farm1,52,0.01,0.04,6.616573452092196e-05,0.0016541433630230492,672.613698630137,29.29041095890411,460
53,Farm1,53,0.01,0.04,6.534556818260675e-05,0.0016336392045651687,686.1260273972603,28.91780821917808,452
54,Farm1,54,0.0548075380676579,0.08,9.943418206024296e-05,0.001242927275753037,775.6273972602739,8.35890410958904,239
55,Farm1,55,0.01,0.04,5.8475867289135676e-05,0.001461896682228392,765.0438356164384,15.10958904109589,251
56,Farm1,56,0.15,0.04,5.6771648263921746e-05,0.0014192912065980436,644.1753424657534,34.42465753424658,453
57,Farm1,57,0.0643667875295668,0.04,5.037291629633245e-05,0.0012593229074083113,746.3561643835617,16.002739726027396,225
58,Farm1,58,0.0423949287205152,0.0568351717188473,7.452337137469631e-05,0.0013112192524612953,754.3917808219178,11.221917808219178,238
59,Farm1,59,0.01,0.04,5.723671054264877e-05,0.0014309177635662192,760.5561643835616,14.953424657534246,243
60,Farm1,60,0.0142709140040787,0.0714810289524289,8.910989555526957e-05,0.001246623011184867,785.4027397260274,4.175342465753425,112
61,Farm1,61,0.010154973891269,0.04,5.512036482852445e-05,0.001378009120713111,758.0493150684931,14.364383561643836,226
62,Farm1,62,0.0626565202342047,0.0746608740041439,9.038754400373107e-05,0.001210641386259613,757.7945205479452,9.561643835616438,244
63,Farm1,63,0.0126476354873053,0.04,4.958161475731224e-05,0.001239540368932806,756.9150684931507,18.71232876712329,261
64,Farm1,64,0.0334941650481945,0.0407192854227372,5.5200671759704334e-05,0.0013556395007089414,756.186301369863,16.361643835616437,255
65,Farm1,65,0.0118229907527222,0.0626199190796794,7.244820979593656e-05,0.0011569515077742493,764.2219178082191,11.936986301369863,247
66,Farm1,66,0.0125181039680283,0.069271163014884,8.91893142922301e-05,0.0012875388604788745,768.3041095890411,9.27945205479452,237
67,Farm1,67,0.041850024996895,0.0638165023993468,7.9343214494657e-05,0.0012433024611431716,803.7013698630137,6.112328767123287,144
68,Farm1,68,0.0435323328416944,0.0507593505080317,7.456061732539197e-05,0.0014689040852402982,762.0438356164384,11.556164383561644,245
69,Farm1,69,0.0100417273184136,0.0514778949467974,6.337952577011518e-05,0.0012311988638155885,773.2191780821918,12.841095890410958,235
70,Farm1,70,0.0394752488942477,0.0469324185955652,6.962840495078016e-05,0.0014835886799441354,759.3780821917808,12.342465753424657,243
71,Farm1,71,0.0495657334635761,0.08,8.933054744780638e-05,0.0011166318430975797,795.786301369863,3.5561643835616437,95
72,Farm1,72,0.01,0.08,8.752763086180869e-05,0.0010940953857726085,807.4794520547945,4.161643835616438,110
73,Farm1,73,0.01,0.08,9.787642795284331e-05,0.0012234553494105413,817.0493150684931,3.8465753424657536,113
74,Farm1,74,0.0170137425122757,0.08,9.821699622897994e-05,0.0012277124528622492,791.254794520548,4.120547945205479,121
75,Farm1,75,0.0170145590109753,0.08,9.648294911266611e-05,0.0012060368639083263,773.482191780822,8.386301369863014,234
76,Farm1,76,0.0967143953914614,0.08,7.288852358376696e-05,0.000911106544797087,804.6027397260274,4.824657534246575,105
77,Farm1,77,0.0136577185917669,0.0740119469728326,8.614475036719582e-05,0.0011639303367984195,820.8246575342466,4.361643835616438,114
78,Farm1,78,0.0213993741014964,0.0787135863837548,9.885630059340564e-05,0.0012558988242696559,776.4712328767123,6.531506849315068,189
79,Farm1,79,0.01,0.0444703643228092,5.37344694874145e-05,0.0012083208740400102,778.6794520547945,15.92876712328767,247
80,Farm1,80,0.0105026794326838,0.0514292040452786,6.782452108187515e-05,0.0013187939098213927,775.2602739726027,11.767123287671232,229
81,Farm1,81,0.0229283829819219,0.0481640266193556,6.243659576390541e-05,0.001296332556605932,769.158904109589,13.780821917808218,246
82,Farm1,82,0.0117926957172658,0.0499705554426619,5.677507263854995e-05,0.0011361705335394122,804.4630136986301,6.468493150684932,110
83,Farm1,83,0.0132033372768631,0.0661434517152231,8.809096452774614e-05,0.0013318168653643422,777.1945205479452,9.613698630136986,245
84,Farm1,84,0.0162229880278114,0.0609330426108657,8.64780139658572e-05,0.0014192301953166585,807.931506849315,4.96986301369863,128
85,Farm1,85,0.02983039628393,0.0789843494904539,8.541154536155497e-05,0.0010813730303859484,766.7561643835617,8.506849315068493,210
86,Farm1,86,0.0544720477903818,0.0776085511716176,9.819499049171979e-05,0.0012652599360420851,790.1506849315068,4.372602739726028,127
87,Farm1,87,0.0200395852349384,0.08,0.00010388393872585784,0.001298549234073223,809.427397260274,3.7835616438356166,118
88,Farm1,88,0.0416540698911034,0.0435804140908011,7.554947586085362e-05,0.0017335648923262642,652.8602739726027,25.972602739726028,451
89,Farm1,89,0.0248048442762404,0.0526919488589002,6.430892092288085e-05,0.0012204695843588717,763.9753424657534,13.194520547945206,242
90,Farm1,90,0.01,0.08,9.248059730585405e-05,0.0011560074663231755,812.3835616438356,4.1068493150684935,114
91,Farm1,91,0.01,0.08,9.894392678919113e-05,0.0012367990848648892,793.8849315068493,3.8109589041095893,113
92,Farm1,92,0.01,0.08,9.238026330476411e-05,0.0011547532913095513,809.9917808219178,4.043835616438356,113
93,Farm1,93,0.01,0.08,9.669301261004844e-05,0.0012086626576256056,800.7397260273973,3.871232876712329,112
94,Farm1,94,0.01,0.08,9.74965157825714e-05,0.0012187064472821425,803.2438356164383,3.7753424657534245,112
95,Farm1,95,0.01,0.08,9.043191371494465e-05,0.001130398921436808,809.413698630137,4.254794520547946,116
96,Farm1,96,0.01,0.04,5.748433716523815e-05,0.0014371084291309537,727.8630136986301,22.56986301369863,349
97,Farm1,97,0.01,0.08,8.467038807773477e-05,0.0010583798509716845,805.1013698630137,4.326027397260274,111
98,Farm1,98,0.01,0.08,8.057577344330172e-05,0.0010071971680412715,815.5835616438357,4.745205479452054,115
99,Farm1,99,0.01,0.08,0.00010679586640459746,0.0013349483300574682,775.827397260274,6.36986301369863,199
100,Farm2,0,0.0929982465515025,0.0737706299432407,0.00010945130231879201,0.0014836704309425595,500.958904109589,2.926027397260274,60
101,Farm2,1,0.0972989175500361,0.0553752682917079,9.110194307417533e-05,0.0016451738453756128,472.4356164383562,8.241095890410959,133
102,Farm2,2,0.0481718812412158,0.059106604692854,9.22442627756058e-05,0.0015606422201875885,503.6164383561644,4.032876712328767,69
103,Farm2,3,0.0649898714541161,0.0734431505414951,0.00011794635430492226,0.001605954448240657,513.9917808219178,2.9342465753424656,65
104,Farm2,4,0.0615538155776767,0.0782862063581218,0.00013302070151695002,0.0016991588646976224,513.5397260273973,2.7013698630136984,67
105,Farm2,5,0.0763051263383194,0.0720364300791857,0.00012687361596941925,0.0017612424134559976,515.2657534246575,2.663013698630137,64
106,Farm2,6,0.1108885716616283,0.0632807916830043,9.188878751103651e-05,0.0014520802453189857,494.72054794520545,4.010958904109589,68
107,Farm2,7,0.0248270650062909,0.0589440167738663,9.084452369142613e-05,0.0015412000854971152,518.4027397260274,3.8328767123287673,66
108,Farm2,8,0.040317049619412,0.045408726936218,0.00010112959091749822,0.0022270959293694105,468.7013698630137,8.558904109589042,152
109,Farm2,9,0.0411249943552222,0.0554595592450344,9.209508419808982e-05,0.0016605808890617101,516.0739726027397,3.9917808219178084,70
110,Farm2,10,0.01,0.04,7.617190473862183e-05,0.0019042976184655458,501.77260273972604,5.641095890410959,80
111,Farm2,11,0.01,0.08,0.00014892671216821615,0.001861583902102702,512.1534246575343,2.304109589041096,66
112,Farm2,12,0.01,0.04,7.756679212691867e-05,0.0019391698031729669,503.34520547945203,6.0,87
113,Farm2,13,0.01,0.08,0.00014620617802928932,0.0018275772253661165,522.1095890410959,2.26027397260274,64
114,Farm2,14,0.033136387232378,0.08,0.00012990752740730068,0.0016238440925912584,511.5780821917808,2.4136986301369863,60
115,Farm2,15,0.087378279424145,0.0502397177284682,0.00010569432662494753,0.0021038001685478444,486.1698630136986,6.104109589041096,118
116,Farm2,16,0.15,0.04,7.507220485921793e-05,0.0018768051214804481,470.5643835616438,8.106849315068493,108
117,Farm2,17,0.15,0.04,8.128038355182684e-05,0.002032009588795671,476.83287671232875,9.863013698630137,142
118,Farm2,18,0.01,0.04,8.123084488860398e-05,0.0020307711222150994,490.6027397260274,9.95890410958904,148
119,Farm2,19,0.0653735352748618,0.04,7.820225766035484e-05,0.001955056441508871,452.75616438356167,10.432876712328767,141
120,Farm2,20,0.023455221224478,0.08,0.00011831963573378361,0.0014789954466722952,503.3808219178082,2.813698630136986,63
121,Farm2,21,0.01,0.08,0.00014635010530193238,0.0018293763162741548,522.4520547945206,2.0027397260273974,57
122,Farm2,22,0.01,0.08,0.00015175697939725981,0.0018969622424657477,517.5342465753424,1.9698630136986301,58
123,Farm2,23,0.0139514026477748,0.08,0.00014104940750122406,0.0017631175937653006,507.8821917808219,2.3863013698630136,63
124,Farm2,24,0.01,0.08,0.00012845536587696517,0.0016056920734620647,493.76164383561644,3.2356164383561645,77
125,Farm2,25,0.01,0.08,0.00012314380257678274,0.0015392975322097843,516.0849315068493,2.638356164383562,63
126,Farm2,26,0.0278832413453995,0.0598968270765733,0.00012583321992470982,0.0021008328164669244,510.1287671232877,3.1342465753424658,74
127,Farm2,27,0.01,0.08,0.00014049396912969134,0.0017561746141211418,510.7369863013699,2.778082191780822,74
128,Farm2,28,0.01,0.04,8.217390156886174e-05,0.0020543475392215435,474.6931506849315,9.361643835616439,137
129,Farm2,29,0.01,0.08,0.00013960691918083989,0.0017450864897604985,528.6027397260274,2.3589041095890413,64
